Delta,Theta,Alpha,Beta,Gamma
1.557511991159175e-09,2.635836615294202e-09,2.6358366152942006e-09,8.723382939300789e-07,1.5753444501209996e-05
1.3528767497769395e-08,2.2802865222163642e-08,2.26982129971284e-08,6.9798603884752725e-06,0.00010070185044937458
5.934618565492935e-08,9.949333524801859e-08,9.838528331941643e-08,2.751354467808775e-05,0.0002841453768653527
1.8026769918656197e-07,3.0017479691174854e-07,2.941797027897815e-07,7.315980013589832e-05,0.00045262304728911883
4.3656737396839445e-07,7.210853145000824e-07,6.986280837677116e-07,0.00015141526278593108,0.00039581399235149125
9.121187291396581e-07,1.492733861839841e-06,1.4264102051352833e-06,0.00026513443614849746,3.565215357758629e-05
1.7218708335358501e-06,2.7895707640233313e-06,2.623580693254275e-06,0.0004131973576787755,-0.00044891249930128347
3.018056478186936e-06,4.836534719340852e-06,4.468476284910671e-06,0.0005900866884602764,-0.0007677758865087702
4.992881437554299e-06,7.908590911561356e-06,7.164359326778946e-06,0.0007838085614233239,-0.0007729694604265072
7.879033170224056e-06,1.2325640973913276e-05,1.0926454678309782e-05,0.0009744424511605591,-0.0005522086476578759
1.1951227093892017e-05,1.8448409917526613e-05,1.5969469052397874e-05,0.0011358988069727237,-0.0002889369771581356
1.7530415827882645e-05,2.6678104415466312e-05,2.249883515964919e-05,0.0012409277088342634,-6.712579147483126e-05
2.4988699239633546e-05,3.745644453897227e-05,3.070257188200625e-05,0.001266483448508784,0.00016075050646487658
3.47507191362719e-05,5.12589015956958e-05,4.0736855173687335e-05,0.0011960393647098939,0.0004232519445779193
4.7288525644295924e-05,6.857625210024728e-05,5.270092259115367e-05,0.0010179684913041154,0.0005921788047339421
6.311060826639973e-05,8.988612406989414e-05,6.660392197863455e-05,0.0007224985396753639,0.0004501197176304978
8.274893534026752e-05,0.00011562169837042598,8.233211406899275e-05,0.00030108300625466633,-6.545498756899434e-05
0.00010674807524664185,0.00014614504710891877,9.96251377163621e-05,-0.0002497844213067625,-0.0006834891533708204
0.0001356580700951372,0.00018172831265791863,0.000118065413024606,-0.0009216556255449206,-0.0009069697986478532
0.0001700300494233033,0.00022254119151536423,0.00013707951958778338,-0.0016876952007296173,-0.0003756912626990276
0.00021041265400579686,0.00026864154635757487,0.0001559483115054867,-0.0025000100939080584,0.0007979025453467266
0.0002573481763191403,0.0003199673862396024,0.00017382365257213533,-0.003292009752499662,0.002012405050897429
0.00031136831266508167,0.00037633014020348556,0.0001897511331107231,-0.003985207179452456,0.0025253303626435936
0.00037298935703677667,0.0004374090269139969,0.00020269782385680076,-0.00449915994570634,0.0019206181104251565
0.0004427060551136446,0.0005027452812615524,0.00021158293041413057,-0.004763120509740432,0.0003675922123848509
0.0005209836542798182,0.0005717355703471991,0.0002153097109967168,-0.004727412546305214,-0.0014813655492367976
0.0006082494211354434,0.0006436269058331338,0.00021279997733698698,-0.0043716635757943345,-0.002844241812949344
0.0007048865792864367,0.0007175181505794142,0.0002030352078006731,-0.0037071356693821386,-0.0031731192731025365
0.0008112330659333635,0.000792372084484496,0.00018510691662153945,-0.0027725500997438208,-0.0023558186967256615
0.0009275842063016846,0.0008670361611254506,0.00015827272602156258,-0.0016261499816869502,-0.0007316659607931115
0.0010541945819281587,0.0009402634990707247,0.00012200777171726,-0.0003387455486401367,0.0010276228212548466
0.0011912733688447849,0.0010107241075421362,7.603969984243377e-05,0.0010089362458029615,0.0021455086743978127
0.001338970694334011,0.0010770022427226945,2.036202597094117e-05,0.0023255435945440566,0.0020666318070523973
0.001497358030892969,0.001137585382559104,-4.4768987525635046e-05,0.0035098700883520284,0.0007899192228712669
0.0016664091871652186,0.001190856371748369,-0.00011884215359015336,0.004458113251852693,-0.001000164390553333
0.0018459873338934041,0.0012350981443935863,-0.00020109416324047474,0.00507854876466979,-0.0021984454434084712
0.0020358387435334803,0.0012685119917040723,-0.00029050639143996903,0.005309143059125589,-0.0019019061444760742
0.002235589436295967,0.0012892424877132944,-0.00038580290839869695,0.005130980943331257,-4.011313732208827e-05
0.002444740153375205,0.0012954008760714495,-0.0004854582347112704,0.004572381424245117,0.0024508211170764013
0.0026626581536367366,0.0012850840967485713,-0.0005877176858426857,0.0037034539869223414,0.004123152191131618
0.002888568248785711,0.001256393396604673,-0.0006906259594712696,0.002624869430392951,0.003915293169291999
0.0031215469793151756,0.0012074589304862469,-0.0007920569044704735,0.001455262507755511,0.0018502511350039369
0.0033605221772629716,0.0011364737400538342,-0.0008897404519642478,0.0003195063852837331,-0.000965700984258619
0.003604277462712859,0.0010417356984930958,-0.00098128765458249,-0.0006622473671694344,-0.0030521653503342997
0.0038514600528907713,0.0009216939055404214,-0.0010642169943206232,-0.0013853164508513816,-0.003471450681340192
0.004100591161138719,0.0007749975094403724,-0.0011359835965453356,-0.0017703925007405772,-0.002325877377625192
0.004350079472320702,0.000600546961295942,-0.0011940108518025496,-0.0017710569980492938,-0.0005491637194020176
0.004598237762442579,0.0003975469439776603,-0.0012357246135373118,-0.0013780083871368558,0.0007755300559780224
0.004843300786684786,0.0001655568967463237,-0.0012585933469446199,-0.0006205866950028095,0.00105221601466357
0.005083441263214119,-9.546704325590347e-05,-0.001260179445945419,0.0004333733450578152,0.000377439077495762
0.0053167821201801965,-0.00038514235388726123,-0.00123820395505452,0.0016797860019143584,-0.0006905260947781523
0.005541406684239101,-0.0007026401628396441,-0.001190620164124683,0.0029850649496028364,-0.001517201634751528
0.005755371311455476,-0.0010466675874785288,-0.0011156862695772072,0.0041998337330639976,-0.0016601992070026193
0.005956724361605261,-0.0014154460922093251,-0.0010120284121957418,0.005179080076720031,-0.0009609989907825023
0.006143531445469576,-0.0018066865116630844,-0.0008786926461273074,0.00580399177965631,0.00043701430140003
0.006313902598331921,-0.0022175687140227264,-0.0007151920568565138,0.005998539738581765,0.0020778588922891624
0.006466015984458309,-0.002644735473092295,-0.0005215569053981516,0.0057358658658816465,0.003265025315868874
0.006598135836151171,-0.0030843044900253375,-0.00029838978714651055,0.005034556321929279,0.0033262175963297753
0.006708627056066511,-0.0035318941470076546,-4.691909198372834e-05,0.003949364828684908,0.002018178684204806
0.006795971469808967,-0.003982654105340447,0.0002309604955274451,0.002561806605572284,-0.00019436869427630089
0.006858789243013783,-0.004431294452071143,0.0005326687643008274,0.0009731467279472286,-0.0022710898556343507
0.006895864942240086,-0.004872114099583376,0.0008549426471586203,-0.0007015790156043706,-0.0031622856674700947
0.006906174416778256,-0.005299034770826317,0.0011938551181257828,-0.002341563149125531,-0.002472928440528871
0.006888908327657864,-0.0057056473216199255,0.0015448437768447272,-0.003831789557824057,-0.0007483653777172731
0.006843490236526479,-0.006085273309588985,0.0019027462327527202,-0.005076690335479846,0.0008594052796518537
0.006769589344701355,-0.006431040729392265,0.0022618433012403373,-0.006012499765858039,0.0013366780758568499
0.006667128430056889,-0.006735971838453245,0.0026159118678853416,-0.006615278669481524,0.0004478418442669788
0.0065362865156785,-0.0069930825429223775,0.002958287484287299,-0.006903347464713236,-0.0011643059886073505
0.006377495018226247,-0.0071954939530416515,0.0032819353481587147,-0.006934274696202436,-0.0024492391493899455
0.006191426790202979,-0.007336555362355264,0.0035795294330149157,-0.0067968220710392215,-0.002622405931307689
0.00597897909334285,-0.007409974960124514,0.0038435422177252525,-0.006598079714561192,-0.0015797039234313878
0.0057412525108581445,-0.007409952854378147,0.004066348811666823,-0.006446631494563791,0.00016231614029660942
0.00547952714425886,-0.0073313121339881986,0.004240347555349935,-0.006434145910709126,0.0018598372950800652
0.005195235875847513,-0.007169626426617589,0.004358095774463456,-0.006619111382081266,0.002946362149506731
0.004889933787540247,-0.00692134363094627,0.00441245749582972,-0.007016129782249022,0.003215634079725071
0.004565264084986413,-0.006583903399641902,0.004396761483064854,-0.007592104115321386,0.0027747167924849657
0.004222923326079839,-0.006155841899469702,0.004304971475555024,-0.008268223595118371,0.001905984413399421
0.0038646303846168444,-0.005636874886766835,0.004131872364281015,-0.00892565528310396,0.0009529614708484773
0.003492102877591715,-0.0050279517958021465,0.0038732735548358643,-0.009413872005295544,0.00023420044827594054
0.003107042042966703,-0.004331278746941621,0.003526224650697716,-0.009562414115730195,-6.231036667582804e-05
0.0027111241123666,-0.003550313874904324,0.0030892323471199425,-0.009197692638123759,7.747562375639086e-06
0.0023059949313356727,-0.002689740916830109,0.00256246453751576,-0.008165166954506625,0.00012182241735195836
0.0018932653948625672,-0.0017554258177003557,0.0019479289725920096,-0.006354542033233142,-0.00015553185814303028
0.0014745071113789901,-0.0007543581154199564,0.0012496174079902112,-0.0037232931297184685,-0.0010833301309481672
0.0010512490451000203,0.00030542324672130575,0.0004736091907408631,-0.0003133058190952848,-0.002501804819517668
0.0006249759337836555,0.0014149199182926474,-0.0003718707933855085,0.0037430983184092714,-0.003832406100942719
0.00019712839095834382,0.002564278482608513,-0.0012764453508139581,0.008228971966005817,-0.004364834709636218
-0.0002308963059881808,0.0037429059804765237,-0.0022276351845085863,0.012859313315427468,-0.0036685639779730148
-0.0006577440203067251,0.004939592905498649,-0.003210970767492343,0.01730591166220785,-0.0018649321429225216
-0.0010821050706072979,0.006142640560196359,-0.0042101681437646706,0.02122739878109225,0.00041804441390794997
-0.001502717369702325,0.007339990710471785,-0.005207367923872717,0.02430129025707803,0.0023762295953109764
-0.0019183712453839034,0.008519356283109823,-0.006183433986507715,0.02625479567554986,0.003433135009373005
-0.0023279156590100534,0.009668352123956264,-0.007118306258349024,0.026891273487699218,0.0034756891974811626
-0.0027302656710831725,0.010774624642652697,-0.007991400415690806,0.026109521820945853,0.002808592808420903
-0.003124411227634997,0.011825978836104712,-0.008782046150405594,0.023913773873461105,0.001898142622748103
-0.0035094273545335287,0.012810501228304232,-0.009469954277562746,0.020413394868241078,0.001092939775228148
-0.0038844853504060276,0.013716678187022033,-0.010035700972762046,0.01581278535679707,0.0004932608837516949
-0.004248863559399339,0.014533510852738888,-0.010461214905740692,0.010393522225390204,1.925718305181912e-05
-0.004601955302741273,0.015250629615135666,-0.010730251000004312,0.004491700759545382,-0.00041147565306272056
-0.0049432713976245496,0.015858411238655553,-0.010828834528458552,-0.0015267274184044008,-0.0007529890328501401
-0.0052724358958080066,0.016348099543875075,-0.010745662076597426,-0.007290989205599801,-0.0008553763145035468
-0.005589175768340492,0.016711926861835296,-0.010472450591844252,-0.012450546861906806,-0.0006248852660747029
-0.005893306910095399,0.016943230650227636,-0.010004229758402695,-0.016700096045289544,-0.00018133450285227909
-0.006184718783762868,0.017036559854879195,-0.009339573989303997,-0.01980324513735715,0.00014264839168215575
-0.006463358214765102,0.01698776885279889,-0.008480768358730389,-0.021611801992015792,4.197013088729936e-06
-0.0067292106984961205,0.016794100622884143,-0.007433900413603795,-0.02207676538561339,-0.0006711817301681828
-0.0069822769768619775,0.01645426188323513,-0.006208870396559109,-0.021248437638434644,-0.001555818439847031
-0.0072225444122366094,0.015968489930948047,-0.00481931736043491,-0.019266169654184564,-0.0020779942205015407
-0.007449955821047012,0.01533860565977733,-0.0032824659463849526,-0.016341301796901703,-0.0018067728952201247
-0.007664380772120994,0.014568043494939835,-0.0016189041918050584,-0.012737919545459171,-0.0008008302391687708
-0.007865594272976225,0.013661849582259867,0.00014769636626187532,-0.008754523378194597,0.00035753441212808617
-0.0080532653928162,0.012626644194358865,0.0019909105146718857,-0.004706874517717833,0.0009160661690870757
-0.00822695540209231,0.011470549944302187,0.003881936017604636,-0.0009102262181214365,0.00047637159634019517
-0.008386123283794693,0.01020309079578687,0.005790016436491455,0.002340774088207514,-0.0006819785700755228
-0.008530136575916098,0.008835067015366398,0.007682908516651467,0.004794351452920879,-0.0017290501598045565
-0.00865828655589497,0.007378409672941317,0.0095273898092274,0.006263732206076393,-0.0018010470688245028
-0.008769807444738233,0.005846017375292326,0.011289800083819536,0.006645811887253218,-0.0005627402719897475
-0.008863899034546431,0.004251578565211519,0.012936609618567723,0.005933432176053445,0.0015617435482821564
-0.008939751478448483,0.0026093839689805866,0.014435007673597258,0.004219402714386187,0.0036324970770498463
-0.008996570834633599,0.0009341340591257874,0.01575350377794065,0.0016913235712846043,0.004730386320988259
-0.009033604582968766,-0.0007592547049336492,0.01686253249147141,-0.0013830798894751593,0.0044303942529391495
-0.00905016705906184,-0.00245584240250958,0.01773505030647782,-0.004679498783396517,0.002940919035449722
-0.009045664653840331,-0.004140854407199086,0.01834711299884397,-0.007847339025278045,0.0008921574135057277
-0.00901961949512051,-0.005799862034436204,0.018678423377589366,-0.010542939661173648,-0.0010248175005653946
-0.008971688981025294,-0.007418948670084838,0.018712841506177268,-0.01246096354368965,-0.002331080576601619
-0.00890167820860368,-0.008984854758517784,0.018438849873981783,-0.013359901860854275,-0.0028406166927369293
-0.008809543675106567,-0.0104850977382555,0.017849963625457845,-0.013079749762009834,-0.0026062108889737686
-0.008695389113177557,-0.011908067680891189,0.016945071884393658,-0.011552304220048472,-0.001845860438857136
