Delta,Theta,Alpha,Beta,Gamma
-7.405684820002245e-09,-1.253292130056894e-08,-1.2532921300568935e-08,-4.147809132728799e-06,-7.490474902766623e-05
-6.54277132184007e-08,-1.102865452183666e-07,-1.0978894301772727e-07,-3.380455544894688e-05,-0.0004899539037283569
-2.9126047691593935e-07,-4.883741121212741e-07,-4.830315563765342e-07,-0.0001354853065672212,-0.0014173599153741046
-8.914432562778559e-07,-1.484692921271588e-06,-1.4554365486169679e-06,-0.0003632123833478314,-0.002286853570569624
-2.1486786526180523e-06,-3.5490007984129213e-06,-3.4385585330029572e-06,-0.0007442156545312387,-0.001828371491370032
-4.398116826081101e-06,-7.192611334412227e-06,-6.8661086973574495e-06,-0.0012527841684866802,0.0007848739275520773
-8.00201209025156e-06,-1.2935027676312855e-05,-1.2123962794642564e-05,-0.0018029006871002854,0.0048180226391760055
-1.3324203494644722e-05,-2.125098861153771e-05,-1.9482535975839487e-05,-0.00225929822944934,0.008068831588774666
-2.0706910535844857e-05,-3.25230795943298e-05,-2.903918310170766e-05,-0.002463647496634788,0.008197613585378648
-3.0452097747114208e-05,-4.700446149951833e-05,-4.067725090684676e-05,-0.002269706097823904,0.0043122102086953175
-4.2808107622888704e-05,-6.479337267816841e-05,-5.40448486854955e-05,-0.0015791308314232137,-0.0023155363245855464
-5.796090036539424e-05,-8.581851298988645e-05,-6.85531067398992e-05,-0.00036964122483326163,-0.008865705941929
-7.602948846436086e-05,-0.0001098346612991311,-8.339322223167197e-05,0.0012902154581299404,-0.012492151028463837
-9.706668086085227e-05,-0.00013643029478435987,-9.757334475285003e-05,0.0032416103436187864,-0.011799353841365398
-0.00012106710152895202,-0.00016505018052938937,-0.00010997686214088859,0.005250227363564231,-0.007428132444725632
-0.0001479829742434757,-0.0001950331072867957,-0.00011944009469662285,0.007033213525996552,-0.0014961163377104631
-0.0001777448766301062,-0.0002256590940985204,-0.00012484090475151213,0.008296174042849647,0.0036749560100568413
-0.00021028205435217812,-0.00025619592718854564,-0.00012518490239252344,0.00877717172226637,0.006736676155308667
-0.0002455372292181389,-0.0002859356531147756,-0.00011967687108924701,0.008292061683016742,0.007722548327914119
-0.00028347400899659733,-0.00031421738132759216,-0.00010777138390059515,0.006772634268689033,0.00755444667198464
-0.0003240784590878664,-0.0003404389133390794,-8.920356186280542e-05,0.0042885722137154005,0.007103980111647006
-0.0003673574217688334,-0.000364061618445589,-6.400356578271761e-05,0.0010475131372827686,0.006515833945424699
-0.0004133343845405022,-0.000384610005223328,-3.2496004454032895e-05,-0.002626806764626374,0.00524728515114946
-0.00046204135093475164,-0.00040166353181666814,4.717968144799864e-06,-0.006333370411255692,0.0027152640858353065
-0.0005135049398626965,-0.00041483798969002,4.679773020559931e-05,-0.009642717882586206,-0.001008792308464262
-0.0005677273527510327,-0.0004237581079845669,9.271635690281784e-05,-0.012149572916778664,-0.00501942283916197
-0.0006246657522873068,-0.00042802806775433296,0.00014132123133237364,-0.013524164750701022,-0.008045598685523708
-0.0006842142809408935,-0.00042720769310489003,0.0001913922075393485,-0.013556921462703047,-0.009190504379381362
-0.0007461908205582526,-0.0004207982461010682,0.00024169147071061349,-0.012190107957940413,-0.008384608014830756
-0.0008103278142501595,-0.0004082368001715798,0.0002910045937251245,-0.009530243206933506,-0.006264341652415961
-0.0008762658511570693,-0.0003888969736372485,0.00033817387185591075,-0.00583832221901067,-0.003657855256048165
-0.0009435508978905681,-0.00036209742120013784,0.0003821217195515671,-0.001499999973644778,-0.0011262599882294537
-0.0010116387397498025,-0.00032712385359357274,0.000421857924584413,0.0030179982638145605,0.0011259854422853864
-0.0010799102217455528,-0.0002832700610971595,0.0004564654587033383,0.007218237901726825,0.003032055445208315
-0.0011476973310180093,-0.000229896975142378,0.0004850667832973639,0.0106248869420987,0.004451718704582247
-0.0012143154313990364,-0.00016650048420380082,0.0005067816072542583,0.012835396939156793,0.005204358530334257
-0.0012790947509903532,-9.277497731297518e-05,0.0005206910523121077,0.013568660535006175,0.005277026095379386
-0.0013414062451902653,-8.663307499550272e-06,0.0005258191304018855,0.012704047050440532,0.004928546133616843
-0.0014006813804201689,8.560824377074296e-05,0.0005211338068391133,0.010303492763142122,0.0045089630084906036
-0.001456428480959999,0.0001895058858083054,0.0005055635863881855,0.0066100878510365595,0.004121611573148344
-0.001508247736746421,0.00030217180992634404,0.0004780257461097267,0.002021717182743639,0.0034606122874605003
-0.0015558438089080117,0.00042241722675734317,0.000437467174590335,-0.002955442363103044,0.00203854392972069
-0.0015990324145665816,0.0005487310639592672,0.00038292243285610025,-0.0077649116874723735,-0.0003330716084331722
-0.0016377377138501385,0.0006793093278089525,0.0003135918743196649,-0.011860730652205853,-0.0032105793423013356
-0.0016719802781986115,0.0008121046925830772,0.0002289364426971265,-0.014764834396503057,-0.00565016501641511
